DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2022-02-15,200.55,248.0,226.5,0.1293941660433806
2022-02-16,200.4,248.0,225.45,0.1249999999999999
2022-02-17,196.54,248.0,223.43,0.1368169329398596
2022-02-18,194.26,248.0,220.92,0.1372387521877895
2022-02-21,188.64,248.0,219.48,0.1634860050890585
2022-02-22,193.46,248.0,218.72,0.1305696267962369
2022-02-23,190.06,248.0,217.02,0.1418499421235399
2022-02-24,187.82,248.0,214.17,0.1402938984133744
2022-02-25,191.92,248.0,218.43,0.1381304710295957
2022-02-28,194.1,248.0,219.65,0.131633178773828
2022-03-01,189.9,248.0,217.25,0.1440231700895207
2022-03-02,192.58,248.0,218.89,0.1366185481358395
2022-03-03,186.1,248.0,215.03,0.1554540569586244
2022-03-04,181.92,248.0,210.02,0.1544635004397538
2022-03-07,181.68,248.0,210.74,0.1599515631880229
2022-03-08,182.6,248.0,209.64,0.1480832420591456
2022-03-09,189.88,248.0,215.44,0.1346113334737729
2022-03-10,188.78,248.0,215.43,0.1411696154253628
2022-03-11,191.56,248.0,219.24,0.1444978074754646
2022-03-14,196.28,248.0,220.79,0.1248726309353983
2022-03-15,195.26,248.0,219.61,0.1247055208440029
2022-03-16,204.0,248.0,225.45,0.1051470588235293
2022-03-17,206.0,248.0,226.52,0.0996116504854369
2022-03-18,209.2,248.0,228.42,0.0918738049713193
2022-03-21,208.5,248.0,229.83,0.1023021582733813
2022-03-22,209.2,248.0,229.33,0.0962237093690249
2022-03-23,206.7,248.0,227.37,0.1
2022-03-24,203.1,248.0,225.15,0.1085672082717873
2022-03-25,202.7,248.0,222.57,0.0980266403552047
2022-03-28,205.85,248.0,224.88,0.0924459557930532
2022-03-29,210.05,248.0,226.8,0.0797429183527731
2022-03-30,208.5,248.0,225.12,0.0797122302158273
2022-03-31,206.15,248.0,225.62,0.0944457918991025
2022-04-01,209.35,248.0,226.14,0.0802006209696679
2022-04-04,210.9,248.0,227.5,0.078710289236605
2022-04-05,210.3,248.0,226.73,0.0781264859724202
2022-04-06,208.05,248.0,223.23,0.07296322999279
2022-04-07,209.35,248.0,224.81,0.0738476235968474
2022-04-08,210.0,248.0,227.38,0.0827619047619047
2022-04-11,207.3,248.0,224.55,0.0832127351664254
2022-04-12,206.4,248.0,224.54,0.0878875968992247
2022-04-13,208.15,248.0,224.48,0.078453038674033
2022-04-14,208.35,248.0,224.27,0.0764098872090233
2022-04-15,208.35,248.0,224.17,0.0759299256059514
2022-04-18,208.35,248.0,224.1,0.0755939524838013
2022-04-19,208.25,248.0,225.13,0.0810564225690275
